Week,30_YR_FRM,30_YR_Fees_Points,15_YR_FRM,15_YR_Fees_Points,5_1_ARM,5_1_ARM_Fees_Points,5_1_ARM_Margin,5_1_ARM_Spread
01/06/22,3.22 ,0.7 ,2.43 ,0.6 ,2.41 ,0.5 ,2.75 ,0.81
01/13/22,3.45 ,0.7 ,2.62 ,0.7 ,2.57 ,0.3 ,2.75 ,0.88
01/20/22,3.56 ,0.7 ,2.79 ,0.6 ,2.60 ,0.3 ,2.75 ,0.96
01/27/22,3.55 ,0.7 ,2.80 ,0.6 ,2.70 ,0.2 ,2.75 ,0.85
02/03/22,3.55 ,0.8 ,2.77 ,0.7 ,2.71 ,0.3 ,2.76 ,0.84
02/10/22,3.69 ,0.8 ,2.93 ,0.8 ,2.80 ,0.3 ,2.75 ,0.89
02/17/22,3.92 ,0.8 ,3.15 ,0.8 ,2.98 ,0.3 ,2.75 ,0.94
02/24/22,3.89 ,0.8 ,3.14 ,0.7 ,2.98 ,0.3 ,2.75 ,0.91
03/03/22,3.76 ,0.8 ,3.01 ,0.8 ,2.91 ,0.3 ,2.75 ,0.85
03/10/22,3.85 ,0.8 ,3.09 ,0.8 ,2.97 ,0.3 ,2.75 ,0.88
03/17/22,4.16 ,0.8 ,3.39 ,0.8 ,3.19 ,0.2 ,2.75 ,0.97
03/24/22,4.42 ,0.8 ,3.63 ,0.8 ,3.36 ,0.3 ,2.75 ,1.06
03/31/22,4.67 ,0.8 ,3.83 ,0.8 ,3.50 ,0.3 ,2.75 ,1.17
04/07/22,4.72 ,0.8 ,3.91 ,0.8 ,3.56 ,0.3 ,2.75 ,1.16
04/14/22,5.00 ,0.8 ,4.17 ,0.9 ,3.69 ,0.3 ,2.75 ,1.31
04/21/22,5.11 ,0.8 ,4.38 ,0.8 ,3.75 ,0.3 ,2.75 ,1.36
04/28/22,5.10 ,0.8 ,4.40 ,0.9 ,3.78 ,0.3 ,2.75 ,1.32
05/05/22,5.27 ,0.9 ,4.52 ,0.8 ,3.96 ,0.2 ,2.75 ,1.31
05/12/22,5.30 ,0.9 ,4.48 ,0.9 ,3.98 ,0.3 ,2.75 ,1.32
05/19/22,5.25 ,0.9 ,4.43 ,0.9 ,4.08 ,0.2 ,2.75 ,1.17
05/26/22,5.10 ,0.9 ,4.31 ,0.8 ,4.20 ,0.3 ,2.75 ,0.90
06/02/22,5.09 ,0.8 ,4.32 ,0.8 ,4.04 ,0.3 ,2.75 ,1.05
06/09/22,5.23 ,0.9 ,4.38 ,0.8 ,4.12 ,0.3 ,2.75 ,1.11
06/16/22,5.78 ,0.9 ,4.81 ,0.9 ,4.33 ,0.3 ,2.75 ,1.45
